date,population shift,confirm_adds,confirm
2021/09/27,0,0,2593
2021/09/28,0,2,2595
2021/09/29,0,3,2598
2021/09/30,0,5,2603
2021/10/01,0,9,2612
2021/10/02,0,7,2619
2021/10/03,0,3,2622
2021/10/04,0,6,2628
2021/10/05,0,4,2632
2021/10/06,0,4,2636
2021/10/07,0,8,2644
2021/10/08,0,2,2646
2021/10/09,0,6,2652
2021/10/10,0,3,2655
2021/10/11,0,3,2658
2021/10/12,0,2,2660
2021/10/13,0,1,2661
2021/10/14,0,1,2662
2021/10/15,0,4,2666
2021/10/16,0,5,2671
2021/10/17,0,6,2677
2021/10/18,0,5,2682
2021/10/19,0,7,2689
2021/10/20,0,6,2695
2021/10/21,0,2,2697
2021/10/22,0,3,2700
2021/10/23,0,4,2704
2021/10/24,0,1,2705
2021/10/25,0,2,2707
2021/10/26,0,2,2709
2021/10/27,0,0,2709
2021/10/28,0,3,2712
2021/10/29,0,5,2717
2021/10/30,0,9,2726
2021/10/31,0,9,2735
2021/11/01,0,5,2740
2021/11/02,0,5,2745
2021/11/03,0,3,2748
2021/11/04,0,3,2751
2021/11/05,0,3,2754
2021/11/06,0,3,2757
2021/11/07,0,6,2763
2021/11/08,0,2,2765
2021/11/09,0,3,2768
2021/11/10,0,4,2772
2021/11/11,0,6,2778
2021/11/12,0,4,2782
2021/11/13,0,5,2787
2021/11/14,0,5,2792
2021/11/15,0,2,2794
2021/11/16,0,1,2795
2021/11/17,0,6,2801
2021/11/18,0,7,2808
2021/11/19,0,6,2814
2021/11/20,0,3,2817
2021/11/21,0,5,2822
2021/11/22,0,2,2824
2021/11/23,0,5,2829
2021/11/24,0,4,2833
2021/11/25,0,4,2837
2021/11/26,0,5,2842
2021/11/27,0,5,2847
2021/11/28,0,6,2853
2021/11/29,0,0,2853
2021/11/30,0,3,2856
2021/12/01,0,3,2859
2021/12/02,0,8,2867
2021/12/03,0,6,2873
2021/12/04,0,4,2877
2021/12/05,0,5,2882
2021/12/06,0,5,2887
2021/12/07,0,9,2896
2021/12/08,0,2,2898
2021/12/09,0,1,2899
2021/12/10,0,6,2905
2021/12/11,0,8,2913
2021/12/12,0,5,2918
2021/12/13,0,6,2924
2021/12/14,0,3,2927
2021/12/15,0,2,2929
2021/12/16,0,3,2932
2021/12/17,0,13,2945
2021/12/18,0,14,2959
2021/12/19,0,16,2975
2021/12/20,0,5,2980
2021/12/21,0,5,2985
2021/12/22,0,11,2996
2021/12/23,0,8,3004
2021/12/24,0,15,3019
2021/12/25,0,18,3037
2021/12/26,0,11,3048
2021/12/27,0,8,3056
2021/12/28,0,11,3067
2021/12/29,0,17,3084
2021/12/30,0,9,3093
2021/12/31,0,10,3103
2022/01/01,0,18,3121
2022/01/02,0,26,3147
2022/01/03,0,29,3176
2022/01/04,0,17,3193
2022/01/05,0,20,3213
2022/01/06,0,24,3237
2022/01/07,0,32,3269
2022/01/08,0,30,3299
2022/01/09,0,26,3325
2022/01/10,0,27,3352
2022/01/11,0,20,3372
2022/01/12,0,31,3403
2022/01/13,0,32,3435
2022/01/14,0,43,3478
2022/01/15,0,24,3502
2022/01/16,0,35,3537
2022/01/17,0,17,3554
2022/01/18,0,15,3569
2022/01/19,0,14,3583
2022/01/20,0,28,3611
2022/01/21,0,22,3633
2022/01/22,0,13,3646
2022/01/23,0,22,3668
2022/01/24,0,11,3679
2022/01/25,0,10,3689
2022/01/26,0,21,3710
2022/01/27,0,7,3717
2022/01/28,0,10,3727
2022/01/29,0,10,3737
2022/01/30,0,10,3747
2022/01/31,0,18,3765
2022/02/01,0,18,3783
2022/02/02,0,9,3792
2022/02/03,0,7,3799
2022/02/04,0,7,3806
2022/02/05,0,12,3818
2022/02/06,0,8,3826
2022/02/07,0,15,3841
2022/02/08,0,9,3850
2022/02/09,0,8,3858
2022/02/10,0,12,3870
2022/02/11,0,7,3877
2022/02/12,0,9,3886
2022/02/13,0,8,3894
2022/02/14,0,6,3900
2022/02/15,0,13,3913
2022/02/16,0,9,3922
2022/02/17,0,13,3935
2022/02/18,0,18,3953
2022/02/19,0,23,3976
2022/02/20,0,27,4003
2022/02/21,0,32,4035
2022/02/22,0,49,4084
2022/02/23,0,24,4108
2022/02/24,0,59,4167
2022/02/25,0,55,4222
2022/02/26,0,43,4265
2022/02/27,0,45,4310
2022/02/28,0,40,4350
2022/03/01,0,38,4388
2022/03/02,0,42,4430
2022/03/03,0,45,4475
2022/03/04,0,27,4502
2022/03/05,0,25,4527
2022/03/06,0,35,4562
2022/03/07,0,40,4602
2022/03/08,0,29,4631
2022/03/09,0,46,4677
2022/03/10,0,43,4720
